,POST_ID,LATITUDE,LONGITUDE
4,658-01430,37.7920802,-122.39335630000001
158,104-02980,37.7831672,-122.46222079999998
161,104-02960,37.7831828,-122.4622218
172,521-00110,37.76047037,-122.46085976
177,359-01240,37.7953848,-122.39777169999999
178,418-07110,37.7834169,-122.39924209999998
179,418-00760,37.7903127,-122.3908164
180,561-03490,37.788458899999995,-122.3905742
182,864-04730,37.7882656,-122.38858119999999
183,442-02050,37.7817593,-122.41414479999999
184,471-08350,37.7798299,-122.40067140000002
185,331-06200,37.77917720000001,-122.39871370000002
186,471-06410,37.7832899,-122.396279
187,331-06050,37.7793365,-122.3981835
188,614-01300,37.7888014,-122.40481499999999
190,614-06280,37.787816799999995,-122.4126722
191,500-01010,37.7970156,-122.398468
192,568-06590,37.786883200000005,-122.40108570000001
193,571-08100,37.7967538,-122.4035104
194,418-06450,37.7844981,-122.3978736
195,524-01320,37.7792435,-122.3906472
198,330-03800,37.7805826,-122.39382260000001
199,330-04870,37.778577399999996,-122.3960543
201,470-09820,37.78015285,-122.4067764
202,422-02120,37.7935501,-122.3987419
206,616-12160,37.7960619,-122.4099
207,472-05110,37.7857698,-122.4164153
208,330-05500,37.777373600000004,-122.3978888
209,444-07070,37.7936812,-122.40622990000001
210,563-01360,37.78082415,-122.41500298
211,331-04830,37.7815343,-122.39540179999999
212,350-00110,37.7935171,-122.3969395
213,203-01280,37.785581,-122.4013466
214,720-01170,37.7962224,-122.39766159999999
215,819-00110,37.798889200000005,-122.39820630000001
216,420-00220,37.791149299999994,-122.39768190000001
217,202-00060,37.78895705,-122.40111756
218,401-02110,37.78515966,-122.40995662
219,561-02150,37.790518799999994,-122.39314909999999
220,470-06090,37.78648182,-122.39847923
221,501-01105,37.7882314,-122.4006743
222,444-06250,37.7931975,-122.40613400000001
223,651-00560,37.7909182,-122.4006139
224,546-05170,37.7861783,-122.41481759999999
226,571-07200,37.79617677,-122.40339043
227,201-03510,37.786294299999994,-122.39306850000001
228,330-05260,37.77778729999999,-122.39736509999999
229,612-15290,37.7912059,-122.4208929
230,201-03530,37.7862569,-122.39302169999999
231,442-01260,37.78203022,-122.41311239
232,386-02125,37.7958989,-122.39671470000002
234,373-02600,37.7730527,-122.39342597
235,471-08670,37.77919620000001,-122.4014767
236,206-01530,37.78006321,-122.40741342
237,720-05810,37.795491399999996,-122.40304440000001
239,463-01210,37.7841649,-122.39709440000001
241,684-00800,37.78088895,-122.39032420000001
242,684-04317,37.774179499999995,-122.39846750000001
243,470-01220,37.79080352,-122.39329132
244,666-01060,37.7900533,-122.4024953
245,327-01370,37.79852044,-122.40087783
247,470-11360,37.7773887,-122.4102736
249,614-02260,37.7886236,-122.40619440000002
250,869-04160,37.77263039,-122.38718761
251,444-11210,37.7975994,-122.4070138
252,720-04510,37.79567096,-122.40147441
253,205-05110,37.7776071,-122.3999048
254,328-03210,37.788492,-122.39233109999999
255,418-09360,37.77961133,-122.40436928
256,502-06080,37.786998,-122.4131379
258,582-00130,37.78836,-122.4015169
259,542-11190,37.788513,-122.418654
260,568-00290,37.79302379999999,-122.3933131
261,471-08280,37.7801615,-122.4005767
262,614-04080,37.7883054,-122.408798
263,400-02030,37.7840583,-122.4111594
264,616-12280,37.7963572,-122.40995919999999
265,350-00060,37.7936932,-122.3967613
266,612-14120,37.789983299999996,-122.4204885
267,324-05150,37.7960496,-122.40061010000001
268,418-01070,37.7898198,-122.3911338
269,350-09280,37.7919925,-122.4102358
271,666-06250,37.7888338,-122.4111912
272,205-06690,37.7755459,-122.3973216
273,502-08210,37.789237899999996,-122.41374750000001
274,691-00410,37.8013624,-122.40128940000001
276,500-00900,37.797202500000004,-122.39790719999999
277,206-00070,37.78206072,-122.40992553
278,210-02580,37.7729308,-122.41311929999999
279,561-00440,37.7921496,-122.39544540000001
281,380-02230,37.7949875,-122.3979976
283,444-06150,37.792969,-122.40608700000001
284,500-03200,37.796771500000006,-122.4010842
285,520-05200,37.79333270000001,-122.40448300000001
287,470-08350,37.7825097,-122.40350670000001
289,593-00034,37.7867384,-122.4051243
291,203-04480,37.781617100000005,-122.39636259999999
292,670-01460,37.7808703,-122.39754199999999
293,418-07630,37.7823539,-122.4005875
294,501-03090,37.7847822,-122.40490630000001
295,401-03230,37.7849106,-122.411957
296,445-01040,37.800480900000004,-122.4017265
298,658-01340,37.791763200000005,-122.39321509999998
299,616-12040,37.79583579999999,-122.40985479999999
301,664-09120,37.79441920000001,-122.40790220000001
303,359-06210,37.7945216,-122.40395559999999
304,650-16120,37.791702,-122.4196649
306,600-06230,37.7969266,-122.40631029999999
307,720-02120,37.7961609,-122.39873610000001
308,661-00540,37.7897617,-122.39967320000001
309,571-06030,37.794806,-122.4032375
310,691-00430,37.8013529,-122.40136480000001
311,330-03670,37.7807033,-122.3933632
312,203-01510,37.7853685,-122.40077140000001
315,204-12140,37.77229263,-122.39145857
316,684-05041,37.77337643,-122.39948782
318,606-01010,37.792330799999995,-122.3987529
319,684-01030,37.780449700000005,-122.39057720000001
322,582-01050,37.78730770000001,-122.40025179999999
323,324-00280,37.7920636,-122.399644
325,691-00360,37.8014871,-122.401261
326,644-03500,37.7786315,-122.3936047
327,359-05080,37.7948573,-122.40212659999999
329,670-01280,37.7813509,-122.39693290000001
330,614-00060,37.7891152,-122.4023261
331,520-02170,37.7904751,-122.404059
332,444-00120,37.7871382,-122.4048489
333,205-06130,37.77636667,-122.39835016
334,359-09320,37.7939525,-122.40906820000001
335,470-12430,37.775412200000005,-122.41248610000001
336,650-04030,37.794062100000005,-122.4003476
337,209-01310,37.775713,-122.41391229999999
338,566-04120,37.795410499999996,-122.4009614
339,568-02336,37.791337799999994,-122.3954342
340,327-02160,37.7985812,-122.4016812
341,328-03070,37.7886211,-122.3924918
343,422-03210,37.7950088,-122.39920690000001
346,336-12130,37.788987,-122.41746609999998
347,720-05360,37.795664200000004,-122.4026898
348,359-07030,37.794389,-122.40499129999999
349,830-00330,37.7957805,-122.3949465
350,359-05366,37.7947837,-122.4028287
351,324-06370,37.797504100000005,-122.40091140000001
354,373-02170,37.77396434,-122.39204997
355,471-04100,37.7865772,-122.39245159999999
356,208-02610,37.775279499999996,-122.41028440000001
357,207-01160,37.7788301,-122.41060929999999
358,666-08050,37.788499,-122.4138335
359,831-04320,37.7886419,-122.38824050000001
360,324-09240,37.80013592,-122.40128436
361,720-05050,37.7956261,-122.40197930000001
362,551-00400,37.781888,-122.39854709999999
363,336-05280,37.79052046,-122.40642901
364,444-00030,37.787040000000005,-122.40496370000001
365,208-01110,37.77721029999999,-122.4127019
367,359-17550,37.7921614,-122.42237469999999
368,442-03300,37.7815986,-122.4164557
369,328-03170,37.788524200000005,-122.3923713
371,442-03200,37.781633299999996,-122.4161748
372,684-04022,37.77503,-122.39779250000001
373,401-03140,37.785061,-122.411751
374,720-06260,37.79543788,-122.40446868
375,500-04180,37.7965758,-122.40255729999998
377,400-02070,37.784040999999995,-122.4112956
378,470-06730,37.785429799999996,-122.3998108
379,470-06580,37.785737899999994,-122.3997078
380,666-04210,37.7892676,-122.40776979999998
382,614-01150,37.78876524,-122.40425789
383,422-03060,37.794524700000004,-122.39893070000001
384,359-01100,37.7954509,-122.397253
386,418-00500,37.790698,-122.3903285
387,209-01460,37.77534241,-122.41375251
388,606-14190,37.7896881,-122.4194262
389,470-08250,37.7826739,-122.403299
390,202-07120,37.780268,-122.3902385
391,340-00443,37.7768277,-122.39699282
392,830-04170,37.798512200000005,-122.39727069999999
393,606-05420,37.79156879999999,-122.4056483
394,821-05620,37.7854885,-122.3888439
395,720-02040,37.7961984,-122.3984419
396,336-05040,37.7906078,-122.40574409999999
397,614-11380,37.7867229,-122.4211943
398,520-06080,37.7939036,-122.4046009
399,606-03150,37.7919745,-122.401559
400,207-01500,37.778244799999996,-122.40987109999999
401,600-04140,37.797463799999996,-122.4026759
402,837-10730,37.8012256,-122.40045829999998
404,561-02213,37.79035579999999,-122.3929453
405,651-07050,37.79676208,-122.40196177
407,658-00210,37.7934725,-122.39510190000001
408,210-02080,37.7737642,-122.4141642
409,463-01430,37.7837286,-122.39654309999999
412,339-03110,37.77371856,-122.39585777
413,442-02041,37.78190625,-122.4140567
414,606-03410,37.7918807,-122.402295
415,363-02160,37.7974036,-122.4058509
416,324-01120,37.7926304,-122.3997597
417,878-00760,37.7998073,-122.39958030000001
418,582-01070,37.7872715,-122.4002067
419,686-02360,37.78290870000001,-122.41364909999999
420,606-14500,37.78973920000001,-122.42009180000001
421,568-02399,37.7912514,-122.39554220000001
422,562-02060,37.78550831,-122.40947436
423,864-04500,37.788188899999994,-122.38874150000001
424,720-03380,37.796046399999994,-122.39963440000001
425,210-01490,37.77442620000001,-122.4147013
427,837-10170,37.800789,-122.40036979999999
428,552-06360,37.77293918,-122.39228326
429,720-03413,37.79586389999999,-122.40017959999999
430,422-00150,37.7922189,-122.3986281
431,658-00710,37.792947399999996,-122.3944436
432,651-09070,37.798730299999995,-122.40236633
433,606-05150,37.7915487,-122.4048332
434,568-10250,37.780425799999996,-122.40926499999999
435,681-00110,37.782656599999996,-122.41073700000001
437,350-15510,37.7905479,-122.420259
438,681-07150,37.78927410000001,-122.41205249999999
439,837-09110,37.799805400000004,-122.40017379999999
440,340-00440,37.7768823,-122.3969233
441,520-10130,37.7974118,-122.40546450000001
443,470-08326,37.7824304,-122.40389409999999
444,380-01220,37.794138200000006,-122.3976621
445,340-00846,37.776151500000005,-122.397852
446,818-01840,37.78387670000001,-122.3896594
447,869-04190,37.772619799999994,-122.38699452
448,568-02330,37.791312,-122.3954664
449,444-11190,37.7975281,-122.40699939999999
450,827-03130,37.772040000000004,-122.38751887
451,324-11500,37.80210181,-122.40167492
452,691-00380,37.801478100000004,-122.40133229999999
453,571-07220,37.79622747,-122.40340041
454,208-03170,37.77458309,-122.40945262
455,520-04010,37.7918741,-122.4043473
456,542-10120,37.7874576,-122.41827820000002
458,202-00350,37.7890908,-122.4010291
461,831-04550,37.78815168,-122.38765902
462,386-02142,37.79593872,-122.39672283
464,203-03560,37.782867100000004,-122.3979368
465,445-01260,37.8004008,-122.40235600000001
466,684-01940,37.779060799999996,-122.39264080000001
468,444-08230,37.794985,-122.40648929999999
470,205-06510,37.775890000000004,-122.3977527
471,566-04060,37.7954383,-122.4007322
472,401-04090,37.78474511,-122.41324433
473,400-02050,37.784049100000004,-122.4112318
474,205-06630,37.7756634,-122.39746880000001
475,576-05280,37.77292413,-122.39085294
476,569-00080,37.794548600000006,-122.39491409999998
478,684-03535,37.7760214,-122.39612682
479,418-09110,37.7799314,-122.403659
480,470-14190,37.77359570000001,-122.414791
481,330-04420,37.7794369,-122.39527290000001
482,470-01390,37.79069064,-122.39314723
483,472-00090,37.77918321,-122.41508321
484,340-01754,37.77481231,-122.39929602
485,330-08400,37.7723179,-122.4042873
487,831-04540,37.7880393,-122.38809180000001
488,350-07370,37.7922223,-122.4070803
489,324-06200,37.797084000000005,-122.4006679
490,330-07530,37.7736086,-122.402349
492,330-06340,37.77609078,-122.39947968
494,336-04070,37.7906579,-122.40428590000002
495,568-09760,37.7814268,-122.4082507
497,562-03240,37.7868102,-122.4097379
498,501-03410,37.784581,-122.4051615
500,330-05650,37.7770906,-122.39793049999999
501,336-03290,37.7908039,-122.4032412
502,209-00550,37.7764953,-122.41489820000001
503,651-05200,37.79517620000001,-122.40148390000002
504,204-03130,37.7818557,-122.40080079999998
505,568-12450,37.776579,-122.41413440000001
506,463-00260,37.78528308,-122.3986692
507,563-03520,37.7804282,-122.418152
508,570-03650,37.78268001,-122.40542805
509,340-00831,37.77618582,-122.39754359999999
510,571-00030,37.789273,-122.40210079999999
511,525-00309,37.7850192,-122.39897409999999
512,500-06290,37.796049100000005,-122.4061203
513,330-08290,37.77239498,-122.40388685
515,665-01810,37.7924185,-122.392018
516,681-02120,37.78454203,-122.41094851
517,471-08630,37.7792734,-122.40137849999999
518,340-01338,37.775298600000006,-122.39867141
519,336-08370,37.7897355,-122.4116028
520,209-01350,37.7756276,-122.4138051
521,330-02950,37.781967,-122.3917635
522,330-06380,37.7760346,-122.39955479
523,471-06490,37.7831137,-122.39650309999999
524,831-06460,37.7830729,-122.3883939
525,380-05200,37.7978031,-122.3983988
526,661-01360,37.7884292,-122.40135790000001
527,386-00170,37.794202,-122.3966225
528,470-09680,37.7803995,-122.4064643
529,471-06710,37.78273122,-122.39698712
530,470-06290,37.7861504,-122.39889869999999
531,339-02530,37.77459376,-122.39474826
532,208-04070,37.77360074,-122.40826659999999
533,568-11550,37.778162,-122.4121291
534,502-07250,37.7883224,-122.4135663
535,684-05071,37.77329809,-122.39958719
536,206-02570,37.7787558,-122.40577652
537,830-01001,37.79648710000001,-122.39470779999999
538,472-10150,37.790448600000005,-122.4173614
539,471-07370,37.781662299999994,-122.3983425
540,206-01280,37.78037570000001,-122.40811059999999
541,830-01013,37.796491499999995,-122.3946624
542,681-07200,37.78934879999999,-122.41193290000001
543,720-05880,37.79559963,-122.40320037
544,202-07190,37.7802367,-122.38991509999998
545,330-05830,37.7768153,-122.3982791
546,471-00080,37.789330299999996,-122.3889659
547,463-00050,37.785725,-122.3990709
548,372-05180,37.77203155,-122.39042114
549,606-15090,37.789510799999995,-122.4208233
550,720-03360,37.7960501,-122.39960549999999
