ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2018,2018,0,Total,67377,22799,"Census Tract 101, San Francisco County, CA",14000US06075010100
2017,2017,0,Total,81509,19512,"Census Tract 101, San Francisco County, CA",14000US06075010100
2016,2016,0,Total,59519,15585,"Census Tract 101, San Francisco County, CA",14000US06075010100
2015,2015,0,Total,61442,23965,"Census Tract 101, San Francisco County, CA",14000US06075010100
2014,2014,0,Total,75725,11999,"Census Tract 101, San Francisco County, CA",14000US06075010100
2013,2013,0,Total,54798,24445,"Census Tract 101, San Francisco County, CA",14000US06075010100
2018,2018,0,Total,134176,23051,"Census Tract 102, San Francisco County, CA",14000US06075010200
2017,2017,0,Total,125238,22090,"Census Tract 102, San Francisco County, CA",14000US06075010200
2016,2016,0,Total,110536,19654,"Census Tract 102, San Francisco County, CA",14000US06075010200
2015,2015,0,Total,117986,21679,"Census Tract 102, San Francisco County, CA",14000US06075010200
2014,2014,0,Total,108976,10374,"Census Tract 102, San Francisco County, CA",14000US06075010200
2013,2013,0,Total,108557,10012,"Census Tract 102, San Francisco County, CA",14000US06075010200
2018,2018,0,Total,138630,15548,"Census Tract 103, San Francisco County, CA",14000US06075010300
2017,2017,0,Total,118210,22286,"Census Tract 103, San Francisco County, CA",14000US06075010300
2016,2016,0,Total,99120,16445,"Census Tract 103, San Francisco County, CA",14000US06075010300
2015,2015,0,Total,87721,25948,"Census Tract 103, San Francisco County, CA",14000US06075010300
2014,2014,0,Total,89646,24689,"Census Tract 103, San Francisco County, CA",14000US06075010300
2013,2013,0,Total,91458,14530,"Census Tract 103, San Francisco County, CA",14000US06075010300
2018,2018,0,Total,111105,22105,"Census Tract 104, San Francisco County, CA",14000US06075010400
2017,2017,0,Total,106979,21462,"Census Tract 104, San Francisco County, CA",14000US06075010400
2016,2016,0,Total,102986,5549,"Census Tract 104, San Francisco County, CA",14000US06075010400
2015,2015,0,Total,103328,7436,"Census Tract 104, San Francisco County, CA",14000US06075010400
2014,2014,0,Total,101463,13702,"Census Tract 104, San Francisco County, CA",14000US06075010400
2013,2013,0,Total,86847,27194,"Census Tract 104, San Francisco County, CA",14000US06075010400
