cluster_size,mean,var_latitude,var_longitude,cov
226,"(37.78379323195524, -122.4187143689311)",1.8816631065482418e-06,2.04113242830788e-06,-1.501008130936129e-07
180,"(37.778533826558835, -122.40672818539862)",1.0498417237413196e-06,4.613259604898581e-06,-3.6901848870285394e-07
156,"(37.78626192753497, -122.41464818532607)",1.0922069905603604e-06,1.4486275346675534e-06,-2.237130926049449e-07
151,"(37.77192807792111, -122.42239405830867)",1.6993575865232858e-06,2.0973837461741607e-06,1.8537883272975568e-07
146,"(37.786254524759414, -122.41009512588585)",1.1260926181047706e-06,1.5242984486463582e-06,-3.6957175103272437e-07
144,"(37.778324052710786, -122.42276296964117)",4.093362682682615e-06,1.544499576863132e-06,7.53760626883166e-07
141,"(37.787992506367495, -122.42444240149464)",1.624411672862717e-06,3.8999116905141375e-06,-1.449319945329521e-07
139,"(37.77164412448585, -122.41547479289022)",1.2198442919685392e-06,3.706168392410229e-06,-1.1202105377013764e-06
136,"(37.79221457032317, -122.41791797361512)",2.200809476414226e-06,2.5828023316689063e-06,1.815744356840868e-07
135,"(37.781449360513086, -122.43139428061576)",1.2594759218124888e-06,3.6623200793820442e-06,8.697865413674476e-08
128,"(37.78246572298599, -122.41345473943693)",1.0320618495595792e-06,3.493761523980633e-06,8.654639491330577e-07
127,"(37.75276957649647, -122.41108359955378)",1.2910263965246599e-06,4.12633367789121e-06,-1.544228679253208e-07
126,"(37.77270954886994, -122.4108044900464)",8.871932058053255e-07,3.0051045461841157e-06,-5.768371785305136e-07
115,"(37.75609643453393, -122.4171834532407)",2.3354279863072195e-06,3.5303383864393742e-06,1.0377452637861688e-06
113,"(37.79007511796712, -122.40703531185778)",1.7595119263022469e-06,1.8768474869367927e-06,-3.9674020216359487e-07
113,"(37.76445598374493, -122.41857053383654)",7.674796016565803e-07,4.31688049688504e-06,-7.155666507196198e-07
107,"(37.760512181777024, -122.41131317713683)",1.3399968677668814e-06,4.2807677562658244e-06,-1.0375104362106408e-06
107,"(37.788192213834904, -122.41870893427847)",8.790643823881348e-07,1.309862341446848e-06,-1.5095655013264181e-07
103,"(37.790063556652576, -122.4124408672115)",1.0187639916373864e-06,2.072513868047618e-06,2.1113944807806738e-07
102,"(37.782321644108336, -122.39745832398137)",1.1190494682287828e-06,3.91346280539101e-06,6.761952924098665e-07
99,"(37.784048041626896, -122.4424419728694)",1.773988806006703e-06,4.476865009583573e-06,-4.835303539679458e-07
93,"(37.77860733061998, -122.44085621506083)",1.7547039049717923e-06,2.9041137545428194e-06,-5.865989151359891e-07
91,"(37.760049410368154, -122.43543764217695)",3.377296799169367e-06,2.686714582003783e-06,-1.8370116649673583e-06
90,"(37.74858593291779, -122.41357156778797)",1.8461583888244447e-06,2.61613644111462e-06,-9.685235859611114e-07
89,"(37.774551838735235, -122.43249000324832)",1.3225495753176276e-06,3.244143660836158e-06,1.003305002708036e-06
88,"(37.77684399122492, -122.41748387818629)",1.2284526440422465e-06,3.2307687598731875e-06,1.3260453478806281e-06
85,"(37.735388391506824, -122.39096471989703)",1.3870280614956647e-06,1.8051493798770581e-06,4.7203002076940295e-07
84,"(37.73729767131055, -122.3966093990825)",1.0359602828411664e-06,2.7637441828845297e-06,-5.837805032934937e-07
84,"(37.73506928912348, -122.41549223169142)",9.576680628617075e-07,6.074422561040759e-06,-3.301370304258038e-07
82,"(37.787527389407096, -122.39514019824574)",1.1890010872570838e-06,1.6935304824472478e-06,-6.481523987374058e-08
81,"(37.77379901070072, -122.427438769167)",1.7169147916403165e-06,1.4015405054441442e-06,-3.833675218282601e-07
81,"(37.79601366008373, -122.4134348025384)",2.196078948066887e-06,3.604932630777367e-06,-1.5265025939266882e-06
80,"(37.730060005951984, -122.38652332146091)",1.5895455035849952e-06,2.6079372387124557e-06,-4.5856043370395276e-07
78,"(37.77786371884473, -122.43480798202312)",1.4900540039439876e-06,3.3117947710716844e-06,1.709289212226848e-07
78,"(37.78454136030127, -122.40485725643798)",1.1873689637759218e-06,1.375153394531362e-06,-4.822279040189427e-07
77,"(37.798009550661966, -122.40567637373529)",1.1077392008023182e-06,1.4527649224435527e-06,-2.5751513586577384e-07
77,"(37.7632291234865, -122.42281821962423)",1.004336226716461e-06,1.3912050290054918e-06,-6.058408233782941e-07
76,"(37.72138568296979, -122.43748673163078)",1.630632143231432e-06,2.041975173998443e-06,1.2000037227586096e-07
74,"(37.774307304984305, -122.44023250414634)",7.379447032522114e-07,2.833949030803576e-06,1.532435045697124e-07
73,"(37.77672085227545, -122.4128708464285)",2.0856545197905474e-06,1.6370924680621101e-06,1.0187842006204092e-06
73,"(37.77053103714136, -122.44546824130528)",1.0222086598062402e-06,3.4585072718212758e-06,-4.1580880917837554e-07
73,"(37.761145070771384, -122.4025115373761)",1.4838644793854266e-06,2.7640389689015883e-06,-1.3985598936849715e-07
73,"(37.76804495076782, -122.41826540387004)",6.670384042153971e-07,1.5599929014840656e-06,2.6311097643292756e-07
72,"(37.7745550578911, -122.40431721322443)",9.528197133379137e-07,2.254115661361987e-06,-4.457429893320254e-09
71,"(37.76014118099018, -122.41887573985143)",1.5018973905856755e-06,1.7871056751124211e-06,1.1983654868330944e-08
69,"(37.77084996561482, -122.43390565859501)",9.657816106247826e-07,3.6755135194549806e-06,7.894592766239597e-07
68,"(37.7679379476109, -122.42241135398147)",8.894616368491403e-07,1.5342485444442705e-06,-2.514590077980743e-07
67,"(37.806263613972895, -122.4179475632534)",1.303066687543028e-06,3.153335555794321e-06,9.729385701925378e-07
67,"(37.76112897938897, -122.42561483892452)",1.2905040456668785e-06,2.2775680288330362e-06,-8.860535181078546e-07
67,"(37.778729589304056, -122.42694409713908)",1.6040541935045534e-06,9.85675581106664e-07,7.581109823589647e-08
67,"(37.793757633931385, -122.42464965435501)",2.427391668420749e-06,2.610946243182058e-06,-1.0228281499242511e-07
66,"(37.72793987833629, -122.39241252731244)",1.5699665240983896e-06,1.1474529420533544e-06,4.018581064446222e-08
65,"(37.76059469050505, -122.43079150797949)",2.0555058134451064e-06,1.6637011997976705e-06,-5.852973290951857e-07
65,"(37.768071385629796, -122.42759545232494)",2.183200359140307e-06,1.6210886112768389e-06,8.795454416395527e-07
65,"(37.71734732504469, -122.44058070368922)",1.7433949021258018e-06,2.0655924653100914e-06,-7.443453506564556e-07
64,"(37.75308016694642, -122.4045202408553)",1.3126991928532874e-06,1.5850827167009944e-06,9.184644630165076e-07
62,"(37.73027604909301, -122.39650276297655)",1.3292337792829132e-06,3.0520378571339347e-06,5.489469494222173e-07
62,"(37.7543693040977, -122.42440751241931)",1.4769477950491426e-06,3.1461202509192715e-06,-7.752972291042373e-07
62,"(37.76369699905239, -122.40739765081194)",1.5741970887582486e-06,1.415633995101732e-06,6.824800314318941e-07
61,"(37.733232442190776, -122.40553809495444)",1.1586302474138486e-06,1.9621948631256062e-06,2.307692004645486e-07
61,"(37.7258327921588, -122.38777125961809)",9.051353402812377e-07,1.210922818082605e-06,1.4299754770492683e-07
59,"(37.764825019170466, -122.44476064970587)",2.2072379476839655e-06,3.380514340797918e-06,-2.2608759481604844e-07
59,"(37.72971618537333, -122.43166085117177)",1.5973886819996982e-06,3.1204265989572314e-06,7.114099175301404e-07
56,"(37.74297150435823, -122.40442346661396)",1.1147530173779612e-06,7.020596329164223e-07,2.4738442066715592e-08
56,"(37.76388884385718, -122.43340310882881)",6.432080505497533e-07,2.6367348611272796e-06,1.5960356348703688e-07
56,"(37.74929725708727, -122.41968259718888)",8.804507645344219e-07,2.446552063565586e-06,1.4713854042222544e-07
55,"(37.717657533136, -122.47450376806412)",6.713200743423623e-07,1.0640380754365911e-06,-9.357302875447906e-08
55,"(37.79476146041277, -122.39733053491393)",1.9157131834959744e-06,1.521925230320411e-06,4.6660199938533896e-08
54,"(37.801922088492745, -122.41131249190113)",9.124767556117419e-07,3.843591493793563e-06,-2.056008897185162e-07
54,"(37.770005798009386, -122.45124939028794)",1.4698056138949177e-06,2.079827657713956e-06,-7.792813216450373e-07
54,"(37.74746004219725, -122.40676029011846)",1.1536893385902144e-06,1.912811928025626e-06,-7.287747659296208e-08
53,"(37.724913114512, -122.40411133891405)",9.813650112438494e-07,2.135015781507452e-06,3.6129971309403877e-07
52,"(37.796907508565, -122.40181373252736)",1.6780711474451513e-06,1.0227045512706036e-06,-2.0368601937447338e-07
52,"(37.78828223679943, -122.43037145789647)",1.4251296035861445e-06,2.155113940519644e-06,-2.0836726232635774e-08
51,"(37.740027053952424, -122.38815476965019)",1.3373520534407709e-06,1.0981853174407785e-06,6.179492558334231e-08
51,"(37.80277607931531, -122.42559176620868)",2.0410406646922234e-06,2.4525229599236142e-06,8.205785420454777e-07
51,"(37.75686830334231, -122.41172680790362)",6.339944988874829e-07,1.52349708797313e-06,2.0257608610037414e-07
51,"(37.72538961953948, -122.43390422916988)",1.231642065090939e-06,2.4694403661803927e-06,-2.565601709445942e-07
51,"(37.73641633610531, -122.42369462513307)",2.4570671970151094e-06,1.776658289512833e-06,-7.041278904354839e-07
51,"(37.76815288034598, -122.41072834767886)",3.1846266863723326e-08,2.866805713130777e-10,-3.0215403321287873e-09
51,"(37.76510475845683, -122.41172986736503)",4.4022168009931256e-07,1.2732816629606458e-06,2.947718874058468e-07
50,"(37.7430158206953, -122.4228327028971)",2.194952783455909e-06,1.555830847497603e-06,3.121677871655177e-07
50,"(37.73843116271365, -122.40496612590016)",4.1198003188705865e-08,9.643888726656333e-07,1.7650338126751117e-07
50,"(37.783219940870765, -122.42328001489062)",5.719063360199902e-07,6.676163543294095e-07,4.044889164859258e-08
49,"(37.776286898074254, -122.45650210854905)",1.0897236590348515e-06,1.4543888096435989e-06,-6.743607626281957e-07
48,"(37.72332591778227, -122.4008592527946)",2.1378355627727053e-07,1.6560597114272066e-06,2.5871375712286656e-07
48,"(37.8059450375361, -122.41401421412367)",1.181876662237303e-06,1.1193641750698283e-06,2.874481346745237e-07
47,"(37.76650994760108, -122.43319037447515)",4.971500429093333e-07,2.7621975257982034e-06,2.677855146171269e-07
46,"(37.76380105372783, -122.39565856783015)",1.1506835758574856e-06,2.7129442654602314e-06,6.073857540453312e-07
45,"(37.72692091772937, -122.42722200672095)",1.490691076107435e-06,2.5735455319991576e-06,-5.440733376584789e-07
